#	Sequence_name	AC012123.1;+;up1000;down1000;+rnd204::18:30349207-30349818
change	rank	file_name	score_mean_ddba	mean_ddba
Positive	1	MZF1_3_from_MZF1:1-4_jaspar_MA0056.1.mlp	0.2365075532283333	0.2365075532283333
Positive	2	SP1_known9_from_SP3_2_from_SP3_jolma_DBD_M30.mlp	0.09665965468333333	0.09665965468333333
Positive	3	ETS_known7_from_ELK1_3_from_ELK1_jaspar_MA0028.1.mlp	0.09091048976166667	0.09091048976166667
Positive	4	SP4_1_from_Sp4_bulyk_sc09-primary.mlp	0.08238300413333334	0.08238300413333334
Positive	5	OVOL2_1_from_MOVO-B_transfac_M01104.mlp	0.08063418406	0.08063418406
Positive	6	KLF16_1_from_KLF16_jolma_DBD_M23.mlp	0.06926265831666668	0.06926265831666668
Positive	7	EGR1_known4_from_EGR_2_from_KROX_transfac_M00982.mlp	0.057286248000000005	0.057286248000000005
Positive	8	MAZ_1_from_MAZ_transfac_M00649.mlp	0.02263604916666662	0.02263604916666662
Positive	9	SP1_known6_from_SP1_5_from_Sp1_transfac_M00933.mlp	0.02144962266666668	0.02144962266666668
Positive	10	ZNF281_1_from_Zfp281_bulyk_sc09-primary.mlp	0.01781530916666668	0.01781530916666668
Positive	11	SP1_known7_from_SP1_6_from_SP1_jaspar_MA0079.2.mlp	0.0173673498333333	0.0173673498333333
Positive	12	STAT_known12_from_STAT4_1_from_STAT4_transfac_M00498.mlp	0.008419420614999994	0.008419420614999994
Positive	13	ZNF740_2_from_ZNF740_jolma_DBD_M50.mlp	0.006604489516666652	0.006604489516666652
Positive	14	SP1_known4_from_SP1_3_from_Sp1_transfac_M00931.mlp	0.004792747783333345	0.004792747783333345
Positive	15	FOXA_known5_from_FOXA1_2_from_FOXA1_jaspar_MA0148.1.mlp	0.0031473751668333327	0.0031473751668333327
Negative	1	TEAD2_1_from_ETF_transfac_M00695.mlp	-0.35926740244999994	-0.35926740244999994
Negative	2	ZNF354C_1_from_ZNF354C_jaspar_MA0130.1.mlp	-0.19635442690833338	-0.19635442690833338
Negative	3	WT1_1_from_WT1_transfac_M01118.mlp	-0.055496311500000006	-0.055496311500000006
Negative	4	SPZ1_1_from_Spz1_transfac_M00446.mlp	-0.03809661351666666	-0.03809661351666666
Negative	5	GLI2_1_from_GLI2_jolma_DBD_M10.mlp	-0.013787072653333331	-0.013787072653333331
Negative	6	SOX10_1_from_SOX10_transfac_M01131.mlp	-0.0024903254916666573	-0.0024903254916666573
Negative	7	HNF4_known8_from_HNF4_5_from_HNF4,-COUP_transfac_M00967.mlp	-0.0013020581449999992	-0.0013020581449999992
Negative	8	FOXD3_4_from_FOXD3_jolma_DBD_M411.mlp	-0.0006332183999999992	-0.0006332183999999992
Negative	9	MEIS2_3_from_Meis2_jolma_DBD_M167.mlp	-0.0006233936566666713	-0.0006233936566666713
Negative	10	MZF1_2_from_MZF1_transfac_M00084.mlp	-0.0005469498666666675	-0.0005469498666666675
Negative	11	SRY_3_from_SRY_jaspar_MA0084.1.mlp	-0.0002671199566666612	-0.0002671199566666612
Negative	12	SRY_2_from_SRY_transfac_M00160.mlp	-0.00026638467499999957	-0.00026638467499999957
Negative	13	FOXG1_5_from_Foxg1_jolma_DBD_M442.mlp	-0.00021140676666666662	-0.00021140676666666662
Negative	14	FOXJ1_1_from_HFH4-(FOXJ1)_transfac_M00742.mlp	-0.00017796256666666914	-0.00017796256666666914
Negative	15	FOXO1_3_from_FOXO1_jolma_DBD_M425.mlp	-0.00015878493333333136	-0.00015878493333333136
