#	Sequence_name	DSEL;-;up1000;down1000;+rnd499::18:65185024-65185635
change	rank	file_name	score_mean_ddba	mean_ddba
Positive	1	POU3F3_1_from_Pou3f3_bulyk_cell08-3235.2.mlp	0.12168155076666669	0.12168155076666669
Positive	2	POU1F1_4_from_POU1F1_jolma_DBD_M205.mlp	0.05579925846666667	0.05579925846666667
Positive	3	FOXO3_2_from_FOXO3A_transfac_M01137.mlp	0.0032296433166666715	0.0032296433166666715
Positive	4	FOXO1_1_from_FOXO1_transfac_M00473.mlp	0.0027884359833333324	0.0027884359833333324
Positive	5	BARHL2_2_from_BARHL2_jolma_DBD_M458.mlp	0.0022597078249999964	0.0022597078249999964
Positive	6	BARHL2_5_from_BARHL2_jolma_full_M461.mlp	0.0016536182833333426	0.0016536182833333426
Positive	7	FOXO4_1_from_FOXO4_transfac_M00472.mlp	0.0015340991333333352	0.0015340991333333352
Positive	8	FOXI1_2_from_FOXI1_jaspar_MA0042.1.mlp	0.0013885254999999822	0.0013885254999999822
Positive	9	FOXO4_2_from_FOXO4_transfac_M00476.mlp	0.0006749338166666697	0.0006749338166666697
Positive	10	BARHL1_2_from_Barhl1_jolma_DBD_M467.mlp	0.00020719350666666852	0.00020719350666666852
Negative	1	STAT_known9_from_STAT6_1_from_STAT6_transfac_M00494.mlp	-0.15563252425	-0.15563252425
Negative	2	PAX4_4_from_Pax-4_transfac_M00380.mlp	-0.017449802991666666	-0.017449802991666666
Negative	3	MZF1_3_from_MZF1:1-4_jaspar_MA0056.1.mlp	-0.012349190738333335	-0.012349190738333335
Negative	4	KLF12_1_from_AP-2rep_transfac_M00468.mlp	-0.002936806907333329	-0.002936806907333329
Negative	5	FOXJ3_2_from_FOXJ3_jolma_DBD_M419.mlp	-0.002293593756666659	-0.002293593756666659
Negative	6	NKX2-1_2_from_TTF-1-(Nkx2-1)_transfac_M00794.mlp	-0.0012353482866666668	-0.0012353482866666668
Negative	7	MZF1_4_from_MZF1:5-13_jaspar_MA0057.1.mlp	-0.0007720108816666639	-0.0007720108816666639
Negative	8	TFCP2_5_from_TFCP2_jolma_full_M63.mlp	-0.00035437390999999864	-0.00035437390999999864
Negative	9	ZNF740_2_from_ZNF740_jolma_DBD_M50.mlp	-0.0003144604216666667	-0.0003144604216666667
Negative	10	ZNF281_1_from_Zfp281_bulyk_sc09-primary.mlp	-0.0002676377899999997	-0.0002676377899999997
Negative	11	MZF1_2_from_MZF1_transfac_M00084.mlp	-0.0002081170250000007	-0.0002081170250000007
