#	Sequence_name	INO80C;-;up1000;down1000;+rnd12::18:33077781-33078392
change	rank	file_name	score_mean_ddba	mean_ddba
Positive	1	AHR::ARNT_3_from_Arnt::Ahr_jaspar_MA0006.1.mlp	0.21527593005333331	0.21527593005333331
Positive	2	FOXO4_1_from_FOXO4_transfac_M00472.mlp	0.21161496138333333	0.21161496138333333
Positive	3	FOXC1_7_from_Foxc1_jolma_DBD_M439.mlp	0.20952175651833335	0.20952175651833335
Positive	4	SRY_1_from_SRY_transfac_M00148.mlp	0.19182017459166667	0.19182017459166667
Positive	5	SRY_3_from_SRY_jaspar_MA0084.1.mlp	0.19174346720000002	0.19174346720000002
Positive	6	FOXL1_4_from_FOXL1_jolma_full_M423.mlp	0.17469257724999998	0.17469257724999998
Positive	7	FOXJ3_2_from_FOXJ3_jolma_DBD_M419.mlp	0.16225051674	0.16225051674
Positive	8	FOXJ1_1_from_HFH4-(FOXJ1)_transfac_M00742.mlp	0.1566425323783333	0.1566425323783333
Positive	9	ARID3A_1_from_ARID3A_jaspar_MA0151.1.mlp	0.15376035775	0.15376035775
Positive	10	FOXO1_1_from_FOXO1_transfac_M00473.mlp	0.10618580210000002	0.10618580210000002
Positive	11	FOXK1_4_from_Foxk1_jolma_DBD_M448.mlp	0.10575735009666669	0.10575735009666669
Positive	12	FOXO1_3_from_FOXO1_jolma_DBD_M425.mlp	0.09266072175000001	0.09266072175000001
Positive	13	FOXD2_2_from_FOXD2_jolma_DBD_M409.mlp	0.08098770165	0.08098770165
Positive	14	STAT_known12_from_STAT4_1_from_STAT4_transfac_M00498.mlp	0.05356914786166667	0.05356914786166667
Positive	15	FOXO4_4_from_FOXO4_jolma_DBD_M432.mlp	0.05148287896166667	0.05148287896166667
Negative	1	MZF1_3_from_MZF1:1-4_jaspar_MA0056.1.mlp	-0.21060334466000005	-0.21060334466000005
Negative	2	TATA_known4_from_TBP_4_from_TBP_transfac_M00980.mlp	-0.14280452111666667	-0.14280452111666667
Negative	3	CPEB1_1_from_CPEB1_jolma_full_M748.mlp	-0.11364030436666667	-0.11364030436666667
Negative	4	OTX_1_from_OTX_transfac_M01117.mlp	-0.10630585394166668	-0.10630585394166668
Negative	5	MZF1_1_from_MZF1_transfac_M00083.mlp	-0.09483421264666668	-0.09483421264666668
Negative	6	EN1_2_from_En1_jaspar_MA0027.1.mlp	-0.07956815858333333	-0.07956815858333333
Negative	7	TATA_known6_from_TBP_6_from_Tbp_bulyk_sc09-primary.mlp	-0.07946346659999999	-0.07946346659999999
Negative	8	HOXD8_2_from_HOXD8_jolma_DBD_M550.mlp	-0.064478799265	-0.064478799265
Negative	9	STAT_known14_from_STAT6_2_from_STAT6_transfac_M00500.mlp	-0.04115389945333336	-0.04115389945333336
Negative	10	STAT_known11_from_STAT3_2_from_STAT3_transfac_M00497.mlp	-0.03563307322833331	-0.03563307322833331
Negative	11	NKX6-2_1_from_Nkx6-2_transfac_M00489.mlp	-0.03253567657	-0.03253567657
Negative	12	HMGA1_2_from_HMGIY_transfac_M01010.mlp	-0.02952661503833334	-0.02952661503833334
Negative	13	MYC_known10_from_USF2_1_from_USF2_transfac_M00726.mlp	-0.019215233966666672	-0.019215233966666672
Negative	14	OVOL2_1_from_MOVO-B_transfac_M01104.mlp	-0.008113921410000004	-0.008113921410000004
Negative	15	CACBP_1_from_CAC-binding-protein_transfac_M00720.mlp	-0.004949502670000002	-0.004949502670000002
