#	Sequence_name	INO80C;-;up1000;down1000;+rnd402::18:33078171-33078782
change	rank	file_name	score_mean_ddba	mean_ddba
Positive	1	TATA_known6_from_TBP_6_from_Tbp_bulyk_sc09-primary.mlp	0.11745965266666665	0.11745965266666665
Positive	2	TATA_known4_from_TBP_4_from_TBP_transfac_M00980.mlp	0.10630554965833335	0.10630554965833335
Positive	3	FOXL1_2_from_FOXL1_jaspar_MA0033.1.mlp	0.05149017629166669	0.05149017629166669
Positive	4	CPEB1_1_from_CPEB1_jolma_full_M748.mlp	0.0358589176	0.0358589176
Positive	5	HMGA1_2_from_HMGIY_transfac_M01010.mlp	0.010447886051666667	0.010447886051666667
Positive	6	E2F_known15_from_E2F1_13_from_E2F_transfac_M00803.mlp	0.008442722519999992	0.008442722519999992
Positive	7	ARID3A_1_from_ARID3A_jaspar_MA0151.1.mlp	0.008258292901666677	0.008258292901666677
Positive	8	FOXJ3_2_from_FOXJ3_jolma_DBD_M419.mlp	0.0007505658150000091	0.0007505658150000091
Positive	9	MZF1_1_from_MZF1_transfac_M00083.mlp	0.0005195027449999968	0.0005195027449999968
Positive	10	MAZ_1_from_MAZ_transfac_M00649.mlp	0.0004599193333333339	0.0004599193333333339
Positive	11	IKZF2_1_from_Ik-2_transfac_M00087.mlp	0.00013571335999999954	0.00013571335999999954
Negative	1	TEAD2_1_from_ETF_transfac_M00695.mlp	-0.14481013480666666	-0.14481013480666666
Negative	2	HOXD8_2_from_HOXD8_jolma_DBD_M550.mlp	-0.057273970040000004	-0.057273970040000004
Negative	3	SP1_known7_from_SP1_6_from_SP1_jaspar_MA0079.2.mlp	-0.02926901576666666	-0.02926901576666666
Negative	4	SP1_known6_from_SP1_5_from_Sp1_transfac_M00933.mlp	-0.018602819001666663	-0.018602819001666663
Negative	5	SP1_known1_from_SP1_1_from_Sp1_transfac_M00008.mlp	-0.016777643616666667	-0.016777643616666667
Negative	6	SP1_known4_from_SP1_3_from_Sp1_transfac_M00931.mlp	-0.006068399798333333	-0.006068399798333333
Negative	7	PAX4_4_from_Pax-4_transfac_M00380.mlp	-0.005743379716666669	-0.005743379716666669
Negative	8	WT1_1_from_WT1_transfac_M01118.mlp	-0.003601001848333332	-0.003601001848333332
Negative	9	HOXD9_1_from_Hoxd9_jolma_DBD_M559.mlp	-0.0030254688333333332	-0.0030254688333333332
Negative	10	HOXA4_1_from_HOXA4_transfac_M00640.mlp	-0.0020038959349999983	-0.0020038959349999983
Negative	11	BPTF_1_from_FAC1_transfac_M00456.mlp	-0.0018134260483333323	-0.0018134260483333323
Negative	12	OVOL2_1_from_MOVO-B_transfac_M01104.mlp	-0.0015540253616666702	-0.0015540253616666702
Negative	13	SP1_known9_from_SP3_2_from_SP3_jolma_DBD_M30.mlp	-0.0012895317016666664	-0.0012895317016666664
Negative	14	OTX_1_from_OTX_transfac_M01117.mlp	-0.0010885497633333287	-0.0010885497633333287
Negative	15	KLF16_1_from_KLF16_jolma_DBD_M23.mlp	-0.0007620193033333345	-0.0007620193033333345
