#	Sequence_name	RNF165;+;up1000;down1000;+rnd526::18:43907397-43908008
change	rank	file_name	score_mean_ddba	mean_ddba
Positive	1	ZNF354C_1_from_ZNF354C_jaspar_MA0130.1.mlp	0.21673605027666668	0.21673605027666668
Positive	2	FOXJ1_1_from_HFH4-(FOXJ1)_transfac_M00742.mlp	0.07108629438333333	0.07108629438333333
Positive	3	STAT_known11_from_STAT3_2_from_STAT3_transfac_M00497.mlp	0.0643809475583333	0.0643809475583333
Positive	4	SRY_2_from_SRY_transfac_M00160.mlp	0.056754666666666655	0.056754666666666655
Positive	5	FOXI1_2_from_FOXI1_jaspar_MA0042.1.mlp	0.007397131516666684	0.007397131516666684
Positive	6	CDC5L_1_from_Cdc5_transfac_M00478.mlp	0.0015079892333333313	0.0015079892333333313
Positive	7	PAX4_5_from_Pax4_jaspar_MA0068.1.mlp	0.0008177625999999955	0.0008177625999999955
Positive	8	IRX5_2_from_IRX5_jolma_DBD_M563.mlp	0.0004649477066666665	0.0004649477066666665
Positive	9	PAX4_4_from_Pax-4_transfac_M00380.mlp	0.00035753875000000163	0.00035753875000000163
Positive	10	SP1_known7_from_SP1_6_from_SP1_jaspar_MA0079.2.mlp	3.824541666666909e-05	3.824541666666909e-05
Positive	11	SP4_1_from_Sp4_bulyk_sc09-primary.mlp	4.467291666666567e-06	4.467291666666567e-06
Negative	1	ETS_known8_from_ETS1_3_from_ETS1_jaspar_MA0098.1.mlp	-0.2935706940983334	-0.2935706940983334
Negative	2	FOXD3_4_from_FOXD3_jolma_DBD_M411.mlp	-0.17099970702166667	-0.17099970702166667
Negative	3	HOXA4_1_from_HOXA4_transfac_M00640.mlp	-0.15422945574333333	-0.15422945574333333
Negative	4	ETS_2_from_Ets_transfac_M00971.mlp	-0.084653579155	-0.084653579155
Negative	5	ELF5_1_from_ELF5_jaspar_MA0136.1.mlp	-0.015001166666666668	-0.015001166666666668
Negative	6	STAT_known9_from_STAT6_1_from_STAT6_transfac_M00494.mlp	-0.011625186953333337	-0.011625186953333337
Negative	7	ZEB1_known5_from_ZEB1_5_from_ZEB1_jaspar_MA0103.1.mlp	-0.008867150373333329	-0.008867150373333329
Negative	8	MZF1_3_from_MZF1:1-4_jaspar_MA0056.1.mlp	-0.004075327280000012	-0.004075327280000012
Negative	9	KLF12_1_from_AP-2rep_transfac_M00468.mlp	-0.003253945244999996	-0.003253945244999996
Negative	10	HMGA1_2_from_HMGIY_transfac_M01010.mlp	-0.002951100149999995	-0.002951100149999995
Negative	11	MZF1_1_from_MZF1_transfac_M00083.mlp	-0.0016084654966666738	-0.0016084654966666738
Negative	12	NKX2-2_2_from_Nkx2-2_bulyk_cell08-2823.1.mlp	-0.0011301125083333318	-0.0011301125083333318
Negative	13	WT1_1_from_WT1_transfac_M01118.mlp	-0.0010305279466666648	-0.0010305279466666648
Negative	14	TEAD2_1_from_ETF_transfac_M00695.mlp	-0.0008892887516666658	-0.0008892887516666658
Negative	15	MAZ_1_from_MAZ_transfac_M00649.mlp	-0.0005217241500000103	-0.0005217241500000103
