#	Sequence_name	RP11-322E11.6;-;up1000;down1000;+rnd402::18:33078171-33078782
change	rank	file_name	score_mean_ddba	mean_ddba
Positive	1	ARID3A_1_from_ARID3A_jaspar_MA0151.1.mlp	0.10249832919	0.10249832919
Positive	2	NKX2-1_3_from_Titf1_bulyk_cell08-1722.2.mlp	0.0053492271185	0.0053492271185
Positive	3	OTX_1_from_OTX_transfac_M01117.mlp	0.0027847966116666765	0.0027847966116666765
Positive	4	HOXD8_2_from_HOXD8_jolma_DBD_M550.mlp	0.00080234080166666	0.00080234080166666
Positive	5	FOXJ1_1_from_HFH4-(FOXJ1)_transfac_M00742.mlp	0.0002928491666666652	0.0002928491666666652
Positive	6	PAX4_4_from_Pax-4_transfac_M00380.mlp	0.00011212156666666976	0.00011212156666666976
Negative	1	E2F_known15_from_E2F1_13_from_E2F_transfac_M00803.mlp	-0.20663888549999998	-0.20663888549999998
Negative	2	FOXL1_2_from_FOXL1_jaspar_MA0033.1.mlp	-0.18635749687666667	-0.18635749687666667
Negative	3	TATA_known4_from_TBP_4_from_TBP_transfac_M00980.mlp	-0.14002742198833332	-0.14002742198833332
Negative	4	CPEB1_1_from_CPEB1_jolma_full_M748.mlp	-0.11667666796666666	-0.11667666796666666
Negative	5	TATA_known6_from_TBP_6_from_Tbp_bulyk_sc09-primary.mlp	-0.08540068639500002	-0.08540068639500002
Negative	6	HOXD9_1_from_Hoxd9_jolma_DBD_M559.mlp	-0.041106031745	-0.041106031745
Negative	7	HOXA4_1_from_HOXA4_transfac_M00640.mlp	-0.03629097331	-0.03629097331
Negative	8	IKZF2_1_from_Ik-2_transfac_M00087.mlp	-0.033657104355	-0.033657104355
Negative	9	HMGA1_2_from_HMGIY_transfac_M01010.mlp	-0.008472249999999999	-0.008472249999999999
Negative	10	OVOL2_1_from_MOVO-B_transfac_M01104.mlp	-0.008414964353333358	-0.008414964353333358
Negative	11	WT1_1_from_WT1_transfac_M01118.mlp	-0.007921950836666655	-0.007921950836666655
Negative	12	SP1_known4_from_SP1_3_from_Sp1_transfac_M00931.mlp	-0.006866511055000001	-0.006866511055000001
Negative	13	TEAD2_1_from_ETF_transfac_M00695.mlp	-0.006467928441666662	-0.006467928441666662
Negative	14	BPTF_1_from_FAC1_transfac_M00456.mlp	-0.005262650416666666	-0.005262650416666666
Negative	15	FOXJ3_2_from_FOXJ3_jolma_DBD_M419.mlp	-0.004950489166666658	-0.004950489166666658
