#	Sequence_name	SLC25A52;-;up1000;down1000;+rnd14::18:29340895-29341506
change	rank	file_name	score_mean_ddba	mean_ddba
Positive	1	AP3_1_from_AP-3_transfac_M00690.mlp	0.17678520622833335	0.17678520622833335
Positive	2	PAX2_2_from_Pax-2_transfac_M00486.mlp	0.10749554557833331	0.10749554557833331
Positive	3	FOXO1_1_from_FOXO1_transfac_M00473.mlp	0.10592870395	0.10592870395
Positive	4	FOXO4_1_from_FOXO4_transfac_M00472.mlp	0.10034598188333334	0.10034598188333334
Positive	5	TFCP2_2_from_LBP-1_transfac_M00644.mlp	0.06684240238166668	0.06684240238166668
Positive	6	FOXA_known5_from_FOXA1_2_from_FOXA1_jaspar_MA0148.1.mlp	0.05471884018333334	0.05471884018333334
Positive	7	HMGA1_2_from_HMGIY_transfac_M01010.mlp	0.054443000283333313	0.054443000283333313
Positive	8	SRY_1_from_SRY_transfac_M00148.mlp	0.04721944914833329	0.04721944914833329
Positive	9	STAT_known14_from_STAT6_2_from_STAT6_transfac_M00500.mlp	0.038413656818333315	0.038413656818333315
Positive	10	PAX4_5_from_Pax4_jaspar_MA0068.1.mlp	0.03395235346666667	0.03395235346666667
Positive	11	NKX2-1_1_from_TTF1-(Nkx2-1)_transfac_M00432.mlp	0.0038751465999999975	0.0038751465999999975
Positive	12	NKX2-1_2_from_TTF-1-(Nkx2-1)_transfac_M00794.mlp	0.0036195945300000008	0.0036195945300000008
Positive	13	BPTF_1_from_FAC1_transfac_M00456.mlp	0.003045435300000003	0.003045435300000003
Positive	14	GLI2_1_from_GLI2_jolma_DBD_M10.mlp	0.0008327744083333335	0.0008327744083333335
Positive	15	TFAP2_known1_from_TFAP2_1_from_AP-2_transfac_M00189.mlp	0.00029848341833333466	0.00029848341833333466
Negative	1	STAT_known8_from_STAT5A_3_from_STAT5A_transfac_M00493.mlp	-0.2035352622816667	-0.2035352622816667
Negative	2	ZEB1_known5_from_ZEB1_5_from_ZEB1_jaspar_MA0103.1.mlp	-0.18546680557000003	-0.18546680557000003
Negative	3	MYC_known10_from_USF2_1_from_USF2_transfac_M00726.mlp	-0.17611252916333334	-0.17611252916333334
Negative	4	TCF3_5_from_E2A_transfac_M00973.mlp	-0.10739751337333335	-0.10739751337333335
Negative	5	MYOG_1_from_myogenin_transfac_M00712.mlp	-0.07207906997333334	-0.07207906997333334
Negative	6	TATA_known6_from_TBP_6_from_Tbp_bulyk_sc09-primary.mlp	-0.026499592466666666	-0.026499592466666666
Negative	7	ZEB1_known1_from_ZEB1_1_from_AREB6_transfac_M00412.mlp	-0.01312732517	-0.01312732517
Negative	8	ZNF354C_1_from_ZNF354C_jaspar_MA0130.1.mlp	-0.009192726678333332	-0.009192726678333332
Negative	9	KLF12_1_from_AP-2rep_transfac_M00468.mlp	-0.007901370298333332	-0.007901370298333332
Negative	10	MYF6_1_from_Myf6_bulyk_sc09-primary.mlp	-0.006807963583333334	-0.006807963583333334
Negative	11	HLTF_1_from_Hltf_jaspar_MA0109.1.mlp	-0.0066629533133333455	-0.0066629533133333455
Negative	12	STAT_known13_from_STAT5A_4_from_STAT5A_transfac_M00499.mlp	-0.0060899883583333215	-0.0060899883583333215
Negative	13	HBP1_1_from_Hbp1_bulyk_sc09-primary.mlp	-0.0036993541666666707	-0.0036993541666666707
Negative	14	PAX4_4_from_Pax-4_transfac_M00380.mlp	-0.0017809096149999986	-0.0017809096149999986
Negative	15	IKZF2_1_from_Ik-2_transfac_M00087.mlp	-0.0008100348533333331	-0.0008100348533333331
