#	Sequence_name	block_0_18_60986372_60987028_patient_7::18:60986346-60987052
change	rank	file_name	score_pca	mean_ddba
Positive	1	IKZF2_1_from_Ik-2_transfac_M00087.mlp	0.0941386908904794	0.022940422466666666
Positive	2	HOXA4_1_from_HOXA4_transfac_M00640.mlp	0.09152215968424142	0.019113971150000006
Positive	3	NFY_known1_from_NFY_1_from_NF-Y_transfac_M00185.mlp	0.07792634496514679	0.03955845135333333
Positive	4	MZF1_3_from_MZF1:1-4_jaspar_MA0056.1.mlp	0.06900802386169692	0.012299152633333336
Positive	5	E2F_known15_from_E2F1_13_from_E2F_transfac_M00803.mlp	0.060403607733357394	0.010660310326666608
Positive	6	HDX_1_from_Hdx_bulyk_cell08-3845.3.mlp	0.06009632993085388	0.051995369300000004
Positive	7	YY1_known1_from_YY1_1_from_YY1_transfac_M00059.mlp	0.048395937338844404	0.022267461390000007
Positive	8	NKX3-1_1_from_Nkx3-1_transfac_M00451.mlp	0.03022764535182098	0.021528188449999996
Positive	9	CUX1_3_from_CDP-CR1_transfac_M00104.mlp	0.027973310731715786	0.008139245053333336
Positive	10	SRY_1_from_SRY_transfac_M00148.mlp	0.025391285730598602	0.004266522851666667
Negative	1	STAT_known13_from_STAT5A_4_from_STAT5A_transfac_M00499.mlp	-0.6366034820656684	-0.1523307779466667
Negative	2	STAT_known8_from_STAT5A_3_from_STAT5A_transfac_M00493.mlp	-0.39879010709168744	-0.08459486951999995
Negative	3	STAT_known10_from_STAT1_3_from_STAT1_transfac_M00496.mlp	-0.3862451971090679	-0.0811474650933333
Negative	4	HMGA1_1_from_HMG-IY_transfac_M00750.mlp	-0.36070404030412634	-0.08021454836666671
Negative	5	ETS_known8_from_ETS1_3_from_ETS1_jaspar_MA0098.1.mlp	-0.2888148036487313	-0.057279114981666636
Negative	6	STAT_known11_from_STAT3_2_from_STAT3_transfac_M00497.mlp	-0.2831199076687812	-0.05601127872
Negative	7	STAT_known14_from_STAT6_2_from_STAT6_transfac_M00500.mlp	-0.2283547178493403	-0.045231789809999944
Negative	8	STAT_known9_from_STAT6_1_from_STAT6_transfac_M00494.mlp	-0.2185350843294533	-0.042548024079999976
Negative	9	NFATC2_1_from_NFATC2_jaspar_MA0152.1.mlp	-0.1422813386262822	-0.032401318088333325
Negative	10	STAT_known12_from_STAT4_1_from_STAT4_transfac_M00498.mlp	-0.11202840529583787	-0.020672967721666612
