#	Sequence_name	block_0_18_60983893_60984144_patient_3::18:60983867-60984168
change	rank	file_name	score_pca	mean_ddba
Positive	1	PPARA_3_from_PPAR_transfac_M00528.mlp	0.4015260286304627	0.11840372123666666
Positive	2	NFIC_4_from_NFIC_jaspar_MA0161.1.mlp	0.37683265702277147	0.15707566749
Positive	3	HNF4_known6_from_HNF4_3_from_HNF4-direct-repeat-1_transfac_M00764.mlp	0.20930936054702662	0.050443753905000006
Positive	4	PPARA_4_from_PPAR-direct-repeat-1_transfac_M00763.mlp	0.1781392668204701	0.04213595858333335
Positive	5	NR2E1_3_from_Nr2e1_jolma_DBD_M689.mlp	0.14713305013430045	0.03670332792166666
Positive	6	HNF4_known5_from_HNF4_2_from_PPAR,-HNF-4,-COUP,-RAR_transfac_M00762.mlp	0.13722449512976306	0.031427800186666674
Positive	7	NR3C1_known11_from_NR3C1_5_from_PR,-GR_transfac_M00960.mlp	0.1150735459080292	0.03232291096333333
Positive	8	HNF4_known11_from_HNF4A_6_from_HNF4_transfac_M01033.mlp	0.10483840480100587	0.035045536457
Positive	9	ZNF384_1_from_CIZ_transfac_M00734.mlp	0.09904027902700907	0.028019735999999993
Positive	10	SRF_known4_from_SRF_4_from_SRF_transfac_M00810.mlp	0.09754487689866494	0.02127755352833334
Negative	1	NR3C1_known2_from_NR3C1_2_from_GR_transfac_M00205.mlp	-0.5067434220819417	-0.164871463
Negative	2	RUNX1_7_from_AML1_transfac_M00751.mlp	-0.43954521697098903	-0.17075556020500002
Negative	3	ETS_known5_from_ETS2_1_from_c-Ets-2_transfac_M00340.mlp	-0.3893709264015553	-0.10860468088333335
Negative	4	PROP1_3_from_PROP1_jolma_full_M627.mlp	-0.3168227621401095	-0.08339902835000002
Negative	5	DBP_1_from_DBP_transfac_M00624.mlp	-0.2715148414836734	-0.10169393307833334
Negative	6	ETS_known3_from_ETS1_1_from_c-Ets-1(p54)_transfac_M00032.mlp	-0.2672141935855933	-0.07748411512333334
Negative	7	ETS_known4_from_ETS1_2_from_c-Ets-1_transfac_M00339.mlp	-0.21503072550025862	-0.0527867408
Negative	8	DRGX_1_from_DRGX_jolma_DBD_M482.mlp	-0.20840744240317044	-0.05030632576666666
Negative	9	ALX4_4_from_Alx4_jolma_DBD_M456.mlp	-0.20067498426684832	-0.048553532116666666
Negative	10	SPDEF_1_from_Spdef_bulyk_sc09-primary.mlp	-0.19716522005665046	-0.0478631681
