region_start,region_end,meth_points_all,powers,tissue
15152481,15156331,"[15152581, 15152839, 15152840, 15153407, 15153422, 15153582, 15153724, 15153725, 15153738, 15153739, 15154265, 15154266, 15154615, 15154616, 15154975, 15154976, 15155597, 15155598, 15155709, 15155710, 15155846, 15155847, 15156024, 15156231]","[0.0, 0.0, 0.83, 0.82, 0.91, 0.5, 0.78, 0.88, 0.89, 1.0, 1.0, 0.92, 0.0, 0.0, 0.86, 0.5, 0.0, 0.25, 0.3, 0.4, 0.83, 0.0, 0.0, 0.0]",chr3:mr408
15134202,15135934,"[15134302, 15134326, 15134327, 15134519, 15134582, 15134734, 15134751, 15135136, 15135137, 15135351, 15135352, 15135834]","[0.0, 0.93, 0.83, 0.0, 0.2, 0.68, 0.86, 0.75, 0.8, 0.96, 0.57, 0.89]",chr3:mr404
15907394,15910908,"[15907494, 15907495, 15907509, 15907510, 15907701, 15907778, 15907779, 15907925, 15907926, 15908066, 15908067, 15908288, 15908289, 15908545, 15908546, 15908558, 15908559, 15908848, 15908849, 15909143, 15909144, 15909255, 15909405, 15909406, 15909550, 15909551, 15909975, 15909976, 15910022, 15910105, 15910448, 15910486, 15910487, 15910542, 15910543, 15910754, 15910808]","[0.0, 0.71, 0.86, 0.8, 0.25, 0.0, 0.2, 1.0, 0.0, 1.0, 0.0, 1.0, 0.78, 0.86, 0.75, 0.83, 0.5, 0.62, 0.8, 1.0, 0.0, 0.0, 0.4, 0.4, 0.0, 0.0, 0.6, 0.67, 1.0, 0.0, 0.29, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]",chr3:mr475
15887735,15888507,"[15887835, 15887836, 15888020, 15888021, 15888078, 15888079, 15888406, 15888407]","[0.75, 0.87, 1.0, 0.0, 0.33, 0.0, 0.0, 1.0]",chr3:mr472
15139284,15147264,"[15139384, 15139385, 15139400, 15139401, 15139455, 15139497, 15139498, 15139685, 15139686, 15139719, 15139720, 15139731, 15139732, 15139768, 15139769, 15140246, 15140247, 15140624, 15140707, 15140767, 15140768, 15140775, 15140776, 15140971, 15140972, 15140981, 15140982, 15141384, 15141385, 15141768, 15141769, 15141830, 15141831, 15142059, 15142060, 15142067, 15142068, 15142097, 15142098, 15142108, 15142431, 15142432, 15142778, 15142779, 15142813, 15142814, 15142884, 15142885, 15142930, 15143317, 15143331, 15143402, 15144293, 15144294, 15144740, 15144741, 15144757, 15144758, 15144853, 15144854, 15145147, 15145240, 15145241, 15145246, 15145247, 15145317, 15145318, 15145641, 15145642, 15145644, 15145645, 15145675, 15145676, 15145736, 15145846, 15145847, 15145946, 15145947, 15146067, 15146068, 15146109, 15146110, 15146122, 15146123, 15146218, 15146487, 15147163, 15147164]","[0.91, 0.86, 0.9, 0.92, 0.2, 0.78, 1.0, 0.22, 0.4, 0.73, 1.0, 0.9, 1.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.0, 0.67, 0.83, 0.0, 0.33, 0.5, 0.0, 0.83, 0.8, 0.62, 1.0, 1.0, 0.67, 0.8, 0.33, 0.18, 0.0, 0.71, 0.0, 0.0, 0.0, 0.16, 0.56, 0.75, 0.86, 0.79, 0.0, 0.17, 0.0, 0.0, 0.0, 0.6, 0.33, 0.29, 0.33, 0.57, 0.0, 0.33, 0.75, 0.4, 0.0, 0.0, 0.0, 0.88, 0.75, 1.0, 0.75, 0.86, 1.0, 0.92, 0.9, 1.0, 0.6, 0.8, 0.8, 0.23, 0.94, 0.92, 0.0, 0.13, 0.0, 0.71, 0.0, 0.29, 0.0, 0.0, 0.23, 0.13, 0.8, 0.0]",chr3:mr406
15940331,15942106,"[15940431, 15940432, 15941001, 15941002, 15941060, 15941061, 15941114, 15941115, 15941124, 15941125, 15941215, 15941223, 15941308, 15941309, 15941388, 15941389, 15941430, 15941431, 15941449, 15941450, 15941754, 15941755, 15942005, 15942006]","[0.0, 0.0, 0.38, 0.67, 0.0, 0.0, 0.67, 0.75, 0.67, 0.62, 0.14, 0.27, 0.73, 0.67, 1.0, 0.71, 1.0, 0.86, 0.88, 0.86, 0.0, 0.0, 0.62, 1.0]",chr3:mr481
16055000,16058026,"[16055100, 16055101, 16055378, 16055399, 16055400, 16055459, 16055460, 16055583, 16055822, 16055823, 16055883, 16055884, 16055957, 16055958, 16056014, 16056015, 16056030, 16056031, 16056041, 16056042, 16056123, 16056124, 16056348, 16056349, 16056428, 16056429, 16057158, 16057159, 16057166, 16057167, 16057328, 16057329, 16057543, 16057551, 16057568, 16057575, 16057582, 16057583, 16057606, 16057607, 16057627, 16057639, 16057642, 16057643, 16057670, 16057671, 16057680, 16057681, 16057715, 16057758, 16057759, 16057768, 16057769, 16057770, 16057771, 16057774, 16057775, 16057925, 16057926]","[0.71, 0.58, 0.62, 0.62, 0.8, 0.0, 0.4, 0.23, 0.57, 0.0, 0.6, 0.4, 0.9, 0.89, 0.62, 0.5, 0.71, 0.79, 1.0, 0.93, 1.0, 0.73, 0.0, 0.0, 0.86, 0.45, 0.86, 1.0, 0.86, 0.83, 0.8, 0.6, 1.0, 0.9, 0.89, 0.88, 0.0, 0.75, 0.0, 0.38, 0.0, 0.38, 0.0, 0.88, 0.0, 1.0, 0.67, 0.88, 0.0, 0.8, 0.0, 0.82, 0.0, 0.91, 0.0, 0.91, 0.0, 1.0, 0.7]",chr3:mr497
16010346,16013333,"[16010446, 16010447, 16010931, 16010984, 16010985, 16011016, 16011017, 16011185, 16011186, 16011351, 16011352, 16011359, 16011360, 16011491, 16011492, 16011600, 16011601, 16011904, 16012541, 16012633, 16013232, 16013233]","[0.69, 0.6, 0.0, 0.0, 0.8, 1.0, 0.0, 0.83, 1.0, 0.0, 0.5, 0.0, 0.75, 0.67, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",chr3:mr491
15160773,15162673,"[15160873, 15160874, 15160907, 15160908, 15161023, 15161024, 15161061, 15161062, 15161094, 15161095, 15161270, 15161796, 15162074, 15162122, 15162176, 15162184, 15162285, 15162286, 15162358, 15162359, 15162447, 15162458, 15162508, 15162561, 15162573]","[0.43, 0.56, 0.89, 0.75, 0.57, 0.57, 0.83, 1.0, 0.92, 0.0, 0.0, 0.0, 0.75, 0.44, 0.78, 0.67, 0.36, 0.4, 0.91, 0.83, 0.82, 0.82, 1.0, 0.0, 0.0]",chr3:mr411
16042365,16048669,"[16042465, 16042466, 16042520, 16042558, 16042559, 16042748, 16042749, 16042808, 16042809, 16042905, 16042906, 16043259, 16043260, 16043613, 16043614, 16043631, 16043691, 16043785, 16043811, 16043812, 16043872, 16043873, 16043931, 16043932, 16043945, 16043946, 16043996, 16043997, 16044140, 16044141, 16044152, 16044153, 16044312, 16044313, 16044370, 16044371, 16044417, 16045336, 16045337, 16045346, 16045347, 16045390, 16045391, 16045396, 16045397, 16045404, 16045405, 16045435, 16045436, 16045463, 16045464, 16045555, 16045556, 16045606, 16046091, 16046493, 16046494, 16046509, 16046510, 16046554, 16046845, 16047022, 16047037, 16047333, 16047334, 16047543, 16047544, 16047554, 16047555, 16047785, 16047786, 16047878, 16047879, 16047954, 16047955, 16048569]","[0.0, 0.0, 1.0, 0.8, 0.9, 0.67, 0.69, 0.75, 0.89, 0.86, 0.87, 0.0, 0.0, 1.0, 0.0, 0.88, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.29, 0.0, 1.0, 1.0, 0.89, 1.0, 0.0, 0.91, 0.0, 0.83, 0.0, 0.44, 0.0, 0.6, 0.0, 1.0, 0.86, 0.33, 0.8, 0.78, 0.0, 0.9, 0.8, 0.89, 0.8, 0.75, 0.0, 0.56, 0.0, 0.8, 0.0, 0.6, 0.67, 0.0, 0.0, 1.0, 0.0, 0.0, 0.4, 0.6, 0.6, 0.43, 0.43, 1.0, 0.67, 0.92, 1.0, 0.75, 0.8, 0.83, 0.83, 0.0, 0.0, 0.0]",chr3:mr495
