rna_name	chr	strand	start_pos	end_pos	gene_name
NR_148357	chr1	+	11868	14362	LOC102725121
NR_046018	chr1	+	11873	14409	DDX11L1
NR_024540	chr1	-	14361	29370	WASH7P
NR_026818	chr1	-	34610	36081	FAM138A
NM_001005484	chr1	+	69090	70008	OR4F5
NR_039983	chr1	-	134772	140566	LOC729737
NR_028322	chr1	+	323891	328581	LOC100132287
NM_001005221	chr1	+	367658	368597	OR4F29
NR_125957	chr1	-	562759	564389	LOC101928626
NM_001005277	chr1	-	621095	622034	OR4F16
NR_028327	chr1	-	661138	665731	LOC100133331
NR_033908	chr1	-	700244	714068	LOC100288069
NR_103536	chr1	+	752750	755214	FAM87B
NR_024321	chr1	-	761585	762902	LINC00115
NR_047519	chr1	+	762970	794826	LINC01128
NR_047526	chr1	+	762970	778984	LINC01128
NR_047525	chr1	+	763177	794826	LINC01128
NR_027055	chr1	-	803450	812182	FAM41C
NR_026874	chr1	-	852197	855072	LINC02593
NM_152486	chr1	+	861110	879954	SAMD11
NM_015658	chr1	-	879582	894636	NOC2L
NM_198317	chr1	+	895963	901099	KLHL17
NM_001160184	chr1	+	901861	911245	PLEKHN1
NM_001291367	chr1	-	910577	917473	PERM1
NM_001369898	chr1	-	910577	916553	PERM1
NM_021170	chr1	-	934343	935477	HES4
NM_005101	chr1	+	948876	949919	ISG15
NM_001305275	chr1	+	955499	991494	AGRN
NM_001364727	chr1	+	969372	991494	AGRN
NR_148960	chr1	+	995113	1001833	LOC100288175
NM_001205252	chr1	-	1006346	1009686	RNF223
NM_001363525	chr1	-	1017202	1051469	C1orf159
NR_038869	chr1	+	1072396	1079434	LINC01342
NM_001371649	chr1	+	1109259	1133315	TTLL10
NM_153254	chr1	+	1115060	1121243	TTLL10
NM_148901	chr1	-	1138887	1141972	TNFRSF18
NM_003327	chr1	-	1146719	1149533	TNFRSF4
NM_016547	chr1	-	1152287	1167447	SDF4
NM_016176	chr1	-	1152310	1167381	SDF4
NM_080605	chr1	+	1167616	1170420	B3GALT6
NM_001014980	chr1	-	1177832	1182102	C1QTNF12
NM_194457	chr1	-	1189291	1209234	UBE2J2
NM_001130413	chr1	+	1215815	1227405	SCNN1D
NR_037668	chr1	+	1215815	1227409	SCNN1D
NM_030649	chr1	-	1227770	1243310	ACAP3
NR_145806	chr1	-	1240108	1240192	SNORD167
