#	Sequence_name	BCL2;-;up1000;down1000;dup0;+rnd1049::18:60988271-60988882
change	rank	file_name	score_mean_ddba	mean_ddba
Positive	1	WT1_1_from_WT1_transfac_M01118.mlp	0.05184749695833332	0.05184749695833332
Positive	2	MYC_known10_from_USF2_1_from_USF2_transfac_M00726.mlp	0.047452657006666656	0.047452657006666656
Positive	3	MZF1_2_from_MZF1_transfac_M00084.mlp	0.018110883698333333	0.018110883698333333
Positive	4	SP1_known7_from_SP1_6_from_SP1_jaspar_MA0079.2.mlp	0.005290853441666667	0.005290853441666667
Positive	5	ZEB1_known5_from_ZEB1_5_from_ZEB1_jaspar_MA0103.1.mlp	0.0026360193933332725	0.0026360193933332725
Positive	6	SP1_known1_from_SP1_1_from_Sp1_transfac_M00008.mlp	0.002354285608333335	0.002354285608333335
Positive	7	SP1_known6_from_SP1_5_from_Sp1_transfac_M00933.mlp	0.0006298613949999993	0.0006298613949999993
Positive	8	EGR1_known4_from_EGR_2_from_KROX_transfac_M00982.mlp	0.0005727516799999987	0.0005727516799999987
Positive	9	SP1_known4_from_SP1_3_from_Sp1_transfac_M00931.mlp	0.0004710625216666662	0.0004710625216666662
Positive	10	CACD_2_from_CACD_transfac_M01113.mlp	0.00046190239500000307	0.00046190239500000307
Positive	11	CLOCK_1_from_CLOCK_jolma_DBD_M316.mlp	0.00045827492333333497	0.00045827492333333497
Positive	12	ZNF740_2_from_ZNF740_jolma_DBD_M50.mlp	0.00042197625333333317	0.00042197625333333317
Positive	13	ZBTB14_1_from_ZF5_transfac_M00333.mlp	0.0003237223299999998	0.0003237223299999998
Positive	14	GLI2_1_from_GLI2_jolma_DBD_M10.mlp	0.00030172358333333313	0.00030172358333333313
Positive	15	ZNF281_1_from_Zfp281_bulyk_sc09-primary.mlp	0.0002743227200000009	0.0002743227200000009
Negative	1	PAX2_2_from_Pax-2_transfac_M00486.mlp	-0.17499019301666666	-0.17499019301666666
Negative	2	SOX10_2_from_SOX10_jaspar_MA0442.1.mlp	-0.0375412532483333	-0.0375412532483333
Negative	3	TATA_known6_from_TBP_6_from_Tbp_bulyk_sc09-primary.mlp	-0.028095333333333333	-0.028095333333333333
Negative	4	NR3C1_known5_from_NR3C1_3_from_GR_transfac_M00921.mlp	-0.022414098650000006	-0.022414098650000006
Negative	5	YY1_known1_from_YY1_1_from_YY1_transfac_M00059.mlp	-0.02155516890666667	-0.02155516890666667
Negative	6	FOXA_known5_from_FOXA1_2_from_FOXA1_jaspar_MA0148.1.mlp	-0.01545304947833333	-0.01545304947833333
Negative	7	SOX10_1_from_SOX10_transfac_M01131.mlp	-0.01372288344500002	-0.01372288344500002
Negative	8	NKX3-1_4_from_Nkx3-1_bulyk_cell08-2923.2.mlp	-0.010803343526666669	-0.010803343526666669
Negative	9	FOXJ3_2_from_FOXJ3_jolma_DBD_M419.mlp	-0.0033725349333333272	-0.0033725349333333272
Negative	10	OTX_1_from_OTX_transfac_M01117.mlp	-0.003218288953333323	-0.003218288953333323
Negative	11	BPTF_1_from_FAC1_transfac_M00456.mlp	-0.0016158541483333334	-0.0016158541483333334
Negative	12	ONECUT1_1_from_HNF6_transfac_M00639.mlp	-0.0010714407666666686	-0.0010714407666666686
Negative	13	CDC5L_1_from_Cdc5_transfac_M00478.mlp	-0.0006515024083333337	-0.0006515024083333337
Negative	14	FOXO3_3_from_FOXO3_jaspar_MA0157.1.mlp	-0.0005695865450000005	-0.0005695865450000005
Negative	15	CPEB1_1_from_CPEB1_jolma_full_M748.mlp	-9.627883333335894e-06	-9.627883333335894e-06
